CHR,START1,STOP1,START2,STOP2
chr1,0,2000000,0,2000000
chr1,0,2000000,2000000,4000000
chr1,2000000,4000000,2000000,4000000
chr1,2000000,4000000,4000000,6000000
chr1,4000000,6000000,4000000,6000000
chr1,4000000,6000000,6000000,8000000
chr1,6000000,8000000,6000000,8000000
chr1,6000000,8000000,8000000,10000000
chr1,8000000,10000000,8000000,10000000
chr1,8000000,10000000,10000000,12000000
chr1,10000000,12000000,10000000,12000000
chr1,10000000,12000000,12000000,14000000
chr1,12000000,14000000,12000000,14000000
chr1,12000000,14000000,14000000,16000000
chr1,14000000,16000000,14000000,16000000
chr1,14000000,16000000,16000000,18000000
chr1,16000000,18000000,16000000,18000000
chr1,16000000,18000000,18000000,20000000
chr1,18000000,20000000,18000000,20000000
chr1,18000000,20000000,20000000,22000000
chr1,20000000,22000000,20000000,22000000
chr1,20000000,22000000,22000000,24000000
chr1,22000000,24000000,22000000,24000000
chr1,22000000,24000000,24000000,26000000
chr1,24000000,26000000,24000000,26000000
chr1,24000000,26000000,26000000,28000000
chr1,26000000,28000000,26000000,28000000
chr1,26000000,28000000,28000000,30000000
chr1,28000000,30000000,28000000,30000000
chr1,28000000,30000000,30000000,32000000
chr1,30000000,32000000,30000000,32000000
chr1,30000000,32000000,32000000,34000000
chr1,32000000,34000000,32000000,34000000
chr1,32000000,34000000,34000000,36000000
chr1,34000000,36000000,34000000,36000000
chr1,34000000,36000000,36000000,38000000
chr1,36000000,38000000,36000000,38000000
chr1,36000000,38000000,38000000,40000000
chr1,38000000,40000000,38000000,40000000
chr1,38000000,40000000,40000000,42000000
chr1,40000000,42000000,40000000,42000000
chr1,40000000,42000000,42000000,44000000
chr1,42000000,44000000,42000000,44000000
chr1,42000000,44000000,44000000,46000000
chr1,44000000,46000000,44000000,46000000
chr1,44000000,46000000,46000000,48000000
chr1,46000000,48000000,46000000,48000000
chr1,46000000,48000000,48000000,50000000
chr1,48000000,50000000,48000000,50000000
chr1,48000000,50000000,50000000,52000000
chr1,50000000,52000000,50000000,52000000
chr1,50000000,52000000,52000000,54000000
chr1,52000000,54000000,52000000,54000000
chr1,52000000,54000000,54000000,56000000
chr1,54000000,56000000,54000000,56000000
chr1,54000000,56000000,56000000,58000000
chr1,56000000,58000000,56000000,58000000
chr1,56000000,58000000,58000000,60000000
chr1,58000000,60000000,58000000,60000000
chr1,58000000,60000000,60000000,62000000
chr1,60000000,62000000,60000000,62000000
chr1,60000000,62000000,62000000,64000000
chr1,62000000,64000000,62000000,64000000
chr1,62000000,64000000,64000000,66000000
chr1,64000000,66000000,64000000,66000000
chr1,64000000,66000000,66000000,68000000
chr1,66000000,68000000,66000000,68000000
chr1,66000000,68000000,68000000,70000000
chr1,68000000,70000000,68000000,70000000
chr1,68000000,70000000,70000000,72000000
chr1,70000000,72000000,70000000,72000000
chr1,70000000,72000000,72000000,74000000
chr1,72000000,74000000,72000000,74000000
